Name,Manga,Anime,Appears in,Japanese,English,Birthdate,Sex,Status,Height,Weight,Blood type,Occupation,Affiliation,Ninja Rank,Novel,Movie,Game,OVA,Age,Team,Partner,Ninja Registration,Family,Nature Type,Jutsu,Tools,Kekkei Genkai,Clan,Species,Classification,Chūnin Prom. Age,Academy Grad. Age,Unique Traits,Tailed Beast,Jinchūriki
['A (First Raikage)'],['Naruto Chapter #648'],['Naruto Shippūden Episode #369'],"['Anime, Manga']",['Kōsuke Gotō'],['Steven Blum'],['December 1'],['Male'],['Deceased'],['Part II: 210.1 cm'],['Part II: 97.2 kg'],['O'],['Raikage'],['Kumogakure'],['Part II: Kage'],,,,,,,,,,,,,,,,,,,,,
['A (Fourth Raikage)'],['Naruto Chapter #416'],['Naruto Shippūden Episode #152'],"['Anime, Manga, Novel, Game, Movie']",['Hideaki Tezuka'],['Beau Billingslea'],['June 1'],['Male'],,['Part II: 198.2 cm'],['Part II: 101.1 kg'],['A'],['Raikage\nSupreme Leader of the Allied Shinobi Forces'],['Kumogakure\n Allied Shinobi Forces'],['Part II: Kage'],['Kakashi Hiden: Lightning in the Icy Sky'],['Naruto the Movie: Blood Prison'],['Naruto Shippūden: Gekitō Ninja Taisen! Special'],['Naruto Shippūden: UNSG anime cutscenes'],['Part II: 47'],['Eight-Tails Subduing Team\n A–B Combo'],['Killer B'],['CL2211'],['Family\n\t\nA  (Father)\nKiller B (Adoptive Brother)\nBlue B (Cousin)'],['Nature Type\n        \n Lightning Release\n Earth Release\n Water Release'],['Jutsu\n\n\nBody Flicker Technique\n\n\nDrop Kick (Anime only)\n\n\nElbow\n\n\nGuillotine Drop\n\n\nIron Claw\n\n\nLiger Bomb\n\n\nLightning Oppression Horizontal\n\n\nLightning Oppression Horizontal Chop\n\n\nLightning Release Chakra Mode\n\n\nLightning Release: Double Lariat\n\n\nLightning Release: Lariat\n\n\nLightning Straight\n\n\nLightning Water Dragon Bullet'],['Tools\n\n\nChakra Cannon\n\n\nVambraces'],,,,,,,,,
['A (Second Raikage)'],['Naruto Chapter #527'],['Naruto Shippūden Episode #269'],"['Anime, Manga']",,,['March 1'],['Male'],['Deceased'],['Part II: 184.2 cm'],['Part II: 84.2 kg'],['O'],['Raikage'],['Kumogakure'],['Part II: Kage'],,,,,,,,,,,,,,,,,,,,,
['A (Third Raikage)'],['Naruto Chapter #494'],['Naruto Shippūden Episode #244'],"['Anime, Manga, Game']",['Naoki Tamanoi'],['Beau Billingslea  (episodes 244-281; 302+)\nNeil Kaplan  (episodes 282-301)\nFred Tatasciore  (Ultimate Ninja Storm 3)'],['August 1'],['Male'],['Deceased'],['Part II: 205  cm'],['Part II: 105.1 kg'],['O'],['Raikage'],['Kumogakure'],['Part II: Kage'],,,['Naruto Shippūden: Ultimate Ninja Storm 3'],,,['Eight-Tails Subduing Team'],['Blue B'],,['Family\n\t\nA  (Son)\nBlue B (Nephew)\nKiller B (Adoptive son)'],['Nature Type\n        \n Lightning Release\n Earth Release\n Fire Release'],['Jutsu\n\n\nBlack Lightning\n\n\nBody Flicker Technique\n\n\nHell Stab\n\n\nLightning Release Chakra Mode\n\n\nLightning Straight'],['Tools\n\n\nKohaku no Jōhei'],,,,,,,,,
['Abiru'],['Naruto Chapter #129'],['Naruto Episode #75'],"['Anime, Manga']",,['Dave Wittenberg  (Part I)'],,['Male'],,,,,,['Sunagakure'],['Part I: Academy Student'],,,,,['Part I: 6'],,,,,,,,,,,,,,,,
['Ada'],['Boruto Chapter #56'],['Boruto Episode #287'],"['Anime, Manga']",['Kana Hanazawa'],,,['Female'],,,,,,['Kara\n Konohagakure (Manga only)'],,,,,,['Boruto Manga: 16'],,,,['Family\n\t\nDaemon (Brother)'],,['Jutsu\n\n\nOmnipotence'],['Tools'],['Senrigan'],,,,,,,,
['Agara'],['Naruto Chapter #487'],['Naruto Shippūden Episode #221'],"['Anime, Manga']",,,,['Male'],['Deceased'],,,,,['Takigakure'],['Part II: Chūnin'],,,,,['Part II: 22'],,,,,,,,,,,,,,,,
['Agari'],['Naruto Chapter #31'],['Naruto Episode #18'],"['Anime, Manga, Game']",['Yoshino Otori'],['Colleen Villard'],,['Female'],,,,,,['Land of Waves'],,,,['Naruto: Konoha Ninpōchō'],,['Part I: 48'],,,,['Family\n\t\nGiichi (Husband)'],,,,,,,,,,,,
['Agari Kaisen'],,['Naruto Episode #175'],['Anime'],['Yutaka Nakano'],['John DeMita'],,['Male'],,,,,['Head of the Kedōin clan'],,,,,,,,,,,,,['Jutsu\n\n\nFace Copying Technique'],,,['Kedōin Clan'],,,,,,,
['Ageha'],['Naruto Chapter #19'],['Naruto Episode #11'],"['Anime, Manga, Novel, Game']",['Kiyomi Asai'],['Kate Higgins'],,['Female'],,,,,,['Land of Waves'],,"['Naruto: Innocent Heart, Demonic Blood']",,['Naruto: Konoha Ninpōchō'],,['Part I: 7'],,,,,,,,,,,,,,,,
